City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Mitsamiouli,KM,75.49,few clouds,-11.3847,43.2844,Foyer ADM
530,Eydhafushi,MV,81.54,overcast clouds,5.1033,73.0708,Soneva Fushi
531,Harlingen,US,79.9,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
532,Providencia,MX,83.1,clear sky,28.7167,-111.5833,
534,Port Keats,AU,87.94,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
536,Biak,ID,83.93,overcast clouds,-0.9131,122.8766,Penginapan Kim
537,Beloha,MG,79.88,clear sky,-25.1667,45.05,
541,Ramshir,IR,76.86,clear sky,30.8946,49.4092,معصومه مهدیان
542,Hambantota,LK,89.94,scattered clouds,6.1241,81.1185,Bungalow 63
547,Dakoro,NE,83.46,broken clouds,14.5106,6.765,Shagon mai liverpool
555,Port Lavaca,US,77.05,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
558,Nizwa,OM,87.69,few clouds,22.9333,57.5333,Orient Apartments
559,Lakki Marwat,PK,89.33,clear sky,32.6079,70.9114,Noor Hotel
560,Wewak,PG,84.4,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
563,Tautira,PF,76.6,broken clouds,-17.7333,-149.15,Pension Oaoa
566,Gadung,PH,84.04,broken clouds,6.8025,124.02,
570,Kutum,SD,76.37,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
572,Aguie,NE,81.84,broken clouds,13.506,7.7786,
573,Lufilufi,WS,83.98,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
581,Samarai,PG,82.8,broken clouds,-10.6167,150.6667,Nuli Sapi
584,Mersing,MY,84.11,scattered clouds,2.4312,103.8405,Timotel Hotel
587,Emerald,AU,81.34,broken clouds,-23.5333,148.1667,The Irish Village
589,Ouegoa,NC,75.4,overcast clouds,-20.35,164.4333,
591,Velasco Ibarra,EC,75.16,overcast clouds,-1.05,-79.6167,Wilson Mendoza
592,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
593,Airai,TL,75.27,overcast clouds,-8.9266,125.4092,
603,Kokopo,PG,86.0,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
606,Salinopolis,BR,79.7,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
607,Bandarbeyla,SO,82.38,few clouds,9.4942,50.8122,JABIR HOTEL
608,Ikwiriri,TZ,75.79,scattered clouds,-7.9562,38.9716,Greenland lodge
610,Obidos,BR,79.9,clear sky,-1.9175,-55.5181,Hotel Amazônia Center
611,Kushima,JP,76.24,overcast clouds,31.4583,131.2333,Hanaoka
614,Namatanai,PG,85.14,light rain,-3.6667,152.4333,Seagulls Inn Namatani
619,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
620,Anloga,GH,77.13,overcast clouds,5.7947,0.8973,Pin Drop Hotel
627,Sarangani,PH,83.37,scattered clouds,5.4033,125.4636,JVL Inn and Cafeteria
628,Rodrigues Alves,BR,75.4,broken clouds,-7.738,-72.6509,Pousada Aconchego
632,Antsohihy,MG,80.22,clear sky,-14.8796,47.9875,Hotel de Ville
633,Banda Aceh,ID,82.63,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
643,Qui Nhon,VN,82.36,light rain,13.7667,109.2333,Seagull Hotel
647,Lashio,MM,82.04,broken clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
655,Puerto El Triunfo,SV,76.32,overcast clouds,13.2833,-88.55,Hotel Jardin
661,Ca Mau,VN,77.97,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
665,Moirang,IN,80.65,broken clouds,24.5,93.7667,"Lake View Hotel, Moirang"
667,Haikou,CN,87.93,broken clouds,20.0458,110.3417,Sun City Restaurant
669,Lethem,GY,76.8,broken clouds,3.3803,-59.7968,Savannah Inn
677,Eyl,SO,80.94,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
