City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Birin,NP,2022-10-05 20:00:56,26.8865,88.0718,60.73,90,100,3.18
127,Seoul,KR,2022-10-05 20:00:00,37.5683,126.9778,58.39,85,75,4.61
128,Pudozh,RU,2022-10-05 20:00:57,61.8099,36.5345,40.75,94,15,2.42
129,Saldanha,ZA,2022-10-05 20:00:57,-33.0117,17.9442,57.52,77,1,9.28
130,Wanning,CN,2022-10-05 20:00:58,18.8003,110.3967,79.23,86,68,6.89
131,Acapulco,MX,2022-10-05 19:57:08,16.8634,-99.8901,87.62,66,40,6.91
132,Duki,PK,2022-10-05 20:00:59,30.1541,68.5728,73.2,29,0,8.19
133,Antofagasta,CL,2022-10-05 20:00:59,-23.65,-70.4,61.88,61,0,9.8
134,Isla Mujeres,MX,2022-10-05 20:01:00,21.2311,-86.731,86.16,52,15,9.35
135,Bahia Honda,CU,2022-10-05 20:02:00,22.9036,-83.1592,81.99,63,11,9.06
136,Mahebourg,MU,2022-10-05 20:01:08,-20.4081,57.7,71.89,73,20,8.05
137,Mamburao,PH,2022-10-05 20:02:01,13.25,120.6667,76.96,83,86,4.88
138,Ponta Do Sol,PT,2022-10-05 20:02:01,32.6667,-17.1,73.0,89,100,5.95
139,Camacha,PT,2022-10-05 20:01:04,33.0833,-16.3333,67.42,68,40,13.8
140,Beringovskiy,RU,2022-10-05 20:02:02,63.05,179.3167,44.19,92,100,27.98
141,Upernavik,GL,2022-10-05 20:02:02,72.7868,-56.1549,19.15,79,56,5.12
142,Pangnirtung,CA,2022-10-05 20:02:03,66.1451,-65.7125,33.8,93,100,0.0
143,Santo Antonio Do Ica,BR,2022-10-05 20:02:04,-3.1022,-67.9397,90.73,51,85,3.42
144,Brae,GB,2022-10-05 20:02:04,60.3964,-1.353,50.07,84,85,33.89
145,Agadir,MA,2022-10-05 20:00:21,30.4202,-9.5982,66.65,69,11,4.45
146,Kant,IN,2022-10-05 20:02:05,27.8,79.8,74.3,87,94,9.46
147,Lata,PT,2022-10-05 20:02:06,40.1629,-8.3327,66.92,82,0,2.17
148,Thompson,CA,2022-10-05 20:00:25,55.7435,-97.8558,37.49,44,100,12.84
149,Nacala,MZ,2022-10-05 20:02:06,-14.5428,40.6728,71.74,85,0,4.18
150,San Pedro,PH,2022-10-05 20:02:07,14.35,121.0167,79.36,86,100,6.2
151,Elban,RU,2022-10-05 20:02:07,50.1018,136.5094,30.7,66,4,4.14
152,Touros,BR,2022-10-05 20:02:08,-5.1989,-35.4608,79.32,79,0,14.58
153,Pringsewu,ID,2022-10-05 20:02:08,-5.3582,104.9744,73.02,96,100,3.06
154,Tuktoyaktuk,CA,2022-10-05 20:02:09,69.4541,-133.0374,32.0,100,100,13.8
155,Nikolskoye,RU,2022-10-05 20:02:09,59.7035,30.7861,46.8,96,90,5.61
156,Hay River,CA,2022-10-05 20:02:10,60.8156,-115.7999,47.14,42,0,10.0
157,Matara,LK,2022-10-05 20:01:53,5.9485,80.5353,76.95,88,100,11.68
158,Puerto Ayora,EC,2022-10-05 20:02:10,-0.7393,-90.3518,69.55,88,76,5.99
159,Ankazobe,MG,2022-10-05 20:02:11,-18.3167,47.1167,61.12,52,0,4.54
160,Natal,BR,2022-10-05 20:02:06,-5.795,-35.2094,81.25,74,75,11.5
161,Pacific Grove,US,2022-10-05 20:02:11,36.6177,-121.9166,78.39,87,75,10.0
162,Kahului,US,2022-10-05 19:59:58,20.8947,-156.47,81.84,83,49,8.01
163,Kokopo,PG,2022-10-05 20:02:12,-4.352,152.2633,77.04,79,100,4.52
164,Inyonga,TZ,2022-10-05 20:02:12,-6.7167,32.0667,72.37,27,96,3.71
165,Geraldton,AU,2022-10-05 20:01:03,-28.7667,114.6,54.01,87,75,8.05
166,Hasaki,JP,2022-10-05 19:57:19,35.7333,140.8333,59.4,80,100,22.75
167,Kakori,IN,2022-10-05 20:02:13,26.8833,80.8,75.15,94,100,4.61
168,Ketchikan,US,2022-10-05 20:02:13,55.3422,-131.6461,56.25,98,100,5.35
169,Wanaka,NZ,2022-10-05 20:02:13,-44.7,169.15,33.08,70,70,4.92
170,Yekaterinovka,RU,2022-10-05 20:02:14,52.0508,44.3451,48.31,73,51,12.68
171,Vao,NC,2022-10-05 20:02:14,-22.6667,167.4833,70.48,56,99,8.68
172,Pevek,RU,2022-10-05 20:02:14,69.7008,170.3133,28.96,81,100,9.51
173,Tadine,NC,2022-10-05 20:02:15,-21.55,167.8833,72.0,58,100,8.72
174,Walvis Bay,NA,2022-10-05 20:02:15,-22.9575,14.5053,55.4,87,0,16.42
175,Lazaro Cardenas,MX,2022-10-05 20:02:15,17.9583,-102.2,84.81,71,6,7.4
176,Ariquemes,BR,2022-10-05 20:00:24,-9.9133,-63.0408,94.66,36,96,2.71
177,Ulladulla,AU,2022-10-05 20:02:16,-35.35,150.4667,56.3,94,100,14.16
178,Fortuna Foothills,US,2022-10-05 20:02:16,32.6578,-114.4119,96.35,34,0,1.01
179,Luanda,AO,2022-10-05 20:00:03,-8.8368,13.2343,74.66,82,32,14.07
180,Kalikino,RU,2022-10-05 20:02:17,52.9493,39.8269,45.5,88,66,8.63
181,Huarmey,PE,2022-10-05 20:02:18,-10.0681,-78.1522,66.72,69,4,13.18
182,Emba,KZ,2022-10-05 20:03:18,48.8264,58.1442,49.95,20,97,8.48
183,Nanortalik,GL,2022-10-05 20:03:18,60.1432,-45.2371,37.9,87,51,13.71
184,Portree,GB,2022-10-05 20:03:19,57.4129,-6.1942,49.51,92,100,20.78
185,Vardo,NO,2022-10-05 20:03:19,70.3705,31.1107,44.58,70,75,18.41
186,Deputatskiy,RU,2022-10-05 20:03:19,69.3,139.9,8.85,93,100,5.86
187,Dabat,ET,2022-10-05 20:03:20,12.9842,37.765,53.31,72,24,4.27
188,Katsuura,JP,2022-10-05 20:03:20,35.1333,140.3,59.02,86,100,24.14
189,Sawakin,SD,2022-10-05 20:03:20,19.1059,37.3321,86.52,51,0,2.68
190,Booue,GA,2022-10-05 20:03:21,-0.0921,11.9385,73.49,97,92,2.13
191,Saint Anthony,US,2022-10-05 20:03:21,45.0205,-93.218,73.45,64,75,10.36
192,Idil,TR,2022-10-05 20:03:22,37.3411,41.8895,71.53,17,0,5.75
193,Kirovskiy,RU,2022-10-05 20:03:22,45.0917,133.5136,30.42,76,3,3.06
194,Rio Gallegos,AR,2022-10-05 20:03:22,-51.6226,-69.2181,55.67,37,95,8.52
195,Naze,JP,2022-10-05 20:03:23,28.3667,129.4833,74.01,76,34,9.51
196,De Aar,ZA,2022-10-05 20:03:23,-30.6497,24.0123,69.51,7,100,6.62
197,Avarua,CK,2022-10-05 19:59:37,-21.2078,-159.775,77.05,69,40,17.27
198,Inuvik,CA,2022-10-05 19:58:40,68.3499,-133.7218,34.56,93,100,6.91
199,Madona,LV,2022-10-05 20:03:24,56.8533,26.217,50.29,93,100,7.63
200,Ribeira Grande,PT,2022-10-05 20:03:24,38.5167,-28.7,70.2,88,75,9.22
201,Aksu,CN,2022-10-05 20:00:27,41.1231,80.2644,57.85,28,87,4.41
202,Strezhevoy,RU,2022-10-05 20:03:24,60.7333,77.5889,37.09,77,100,4.52
203,Bambous Virieux,MU,2022-10-05 20:03:25,-20.3428,57.7575,71.85,73,20,8.05
204,Taoudenni,ML,2022-10-05 20:03:25,22.6783,-3.9836,98.24,10,2,3.8
205,Guymon,US,2022-10-05 20:03:26,36.6828,-101.4816,66.2,72,100,10.36
206,Makokou,GA,2022-10-05 20:03:26,0.5738,12.8642,70.0,98,77,1.1
207,Iquique,CL,2022-10-05 20:01:37,-20.2208,-70.1431,64.04,65,3,11.01
208,Dingle,PH,2022-10-05 20:03:27,10.9995,122.6711,76.57,89,99,6.15
209,Honiara,SB,2022-10-05 19:59:55,-9.4333,159.95,77.83,79,100,5.77
